Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Dylan Dog: Il Trillo Del Diavolo [Fan-Film] (2012), Action| Comedy| Drama| Horror| Thriller,2012/06/24,Italy,7.8,-1
Spell (2014), Horror,2014/09/11,Thailand,5,-1
Brides of Satan (2017), Horror,2017/10/31,USA,-1,-1
The Murder Show (2017), Horror,2017/10/21,USA,-1,-1
Bullets for the Dead (2015), Action| Adventure| Comedy| Horror,2015/11/29,Australia,5,91
Lady Psycho Killer (2015), Horror,2015/01/01,USA,7.7,82
How to Kill a Zombie (2014), Comedy| Horror,2014/05/09,USA,4.5,91
Phantom of the Opera (2014), Horror,2014/10/08,USA,3.3,96
Date of the Dead (2015), Comedy| Horror,2017/08/17,USA,4.4,98
Wewe (2015), Horror,2015/04/16,Indonesia,5.9,100
Freak Out (2015), Comedy| Horror,2015/10/15,Israel,5.3,84
3rd Night (2017), Horror,2017/08/26,UK,6.9,72
Amityville: Vanishing Point (2016), Horror,2016/04/01,USA,3.6,-1
Amigo Undead (2015), Comedy| Horror,2015/06/02,USA,5.6,84
Ouija: Game Never Ends (2015), Horror,2015/11/06,India,8.3,119
De Reünie (2015), Horror| Thriller,2016/01/01,USA,5.6,-1
Sick Boy (2012), Horror| Thriller,2012/01/01,Germany,3.7,-1
Creature Feature (2015), Horror,2015/10/31,USA,4,79
Slender Man (2013), Adventure| Comedy| Horror| Mystery| Thriller,2013/11/07,Russia,7.8,-1
Roadside (2013), Drama| Horror| Mystery| Thriller,2015/04/14,USA,3.9,90
Selfie (2016), Horror| Thriller,2016/09/02,India,7.6,123
Other World (2016), Action| Drama| Horror| Mystery| Sci-Fi| Thriller,2016/01/01,Australia,-1,-1
Territorial Behavior (2015), Horror| Mystery,2015/06/07,USA,5.6,80
The Noonday Witch (2016), Drama| Horror,2016/03/03,Czech Republic,5.2,90
Elder Island (2016), Horror| Thriller,2016/01/01,USA,3.2,81
Terror 5 (2016), Horror,2017/01/05,Argentina,4.6,78
Hot Tub Party Massacre (2016), Horror,2016/10/28,Canada,4.4,72
Tripura (2015), Comedy| Horror,2015/07/24,India,5.7,-1
Hostile (2014), Action| Drama| Fantasy| Horror| Thriller,2014/10/28,France,5.5,89
The Sleeping Room (2014), Horror,2015/04/27,UK,4.5,78
Mana (2014), Drama| Fantasy| Horror,2014/02/19,Philippines,5.6,105
90210 Shark Attack (2014), Drama| Horror| Sci-Fi,2014/10/01,USA,1.9,75
Frost (2012), Horror| Sci-Fi| Thriller,2013/10/10,USA,3.7,79
RWD (2015), Horror| Sci-Fi| Thriller,2016/10/14,USA,4.5,77
Collar (2014), Horror,2014/05/31,USA,4.7,89
My Bloody Banjo (2015), Comedy| Fantasy| Horror,2015/10/16,USA,5.9,82
American Weapon (2014), Horror| Thriller,2014/01/16,Germany,2.4,-1
Purgatorio (2014), Horror| Thriller,2014/04/04,Spain,5,79
Don't Click (2012), Crime| Horror| Mystery| Thriller,2012/05/30,South Korea,4.7,93
Last Girl (2013), Horror| Thriller,2013/01/16,USA,4.1,81
Hard Labor (2011), Drama| Horror,2015/10/30,USA,6.6,99
Khamoshiyan (2015), Drama| Horror,2015/01/30,India,4,122
Chyornaya voda (2017), Drama| Horror,2017/07/13,Russia,5.4,113
Rise of the Zombie (2013), Drama| Horror| Thriller,2013/04/05,India,4.3,86
The Hanover House (2014), Horror| Thriller,2014/05/09,USA,6,73
Sobre tus huellas (2017), Horror,2017/08/10,Mexico,-1,-1
