Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Bayou Ghost Story (2017), Drama| Horror| Mystery| Thriller,18-Apr-17,USA,4.2,73 min
Hazard Jack (2014), Horror,13-May-14,USA,2.7,82 min
The Cutting Room (2015), Horror,1-Jun-15,UK,3.9,75 min
Good Tidings (2016), Horror| Thriller,6-Dec-16,USA,3.9,99 min
A House Is Not a Home (2015), Horror| Thriller,7-Sep-15,USA,4.1,87 min
Cementerio General 2 (2016), Horror,8-Oct-16,Peru,3.1,87 min
Reminiscence: The Beginning (2014), Horror| Romance| Thriller,1-Jun-14,Turkey,6.4,100 min
Lost Lake (2012), Horror| Thriller,13-Nov-13,Germany,3.4,85 min
The Blood Harvest (2016), Horror,25-Jan-16,UK,3.7,
Jake's Road (2017), Action| Horror| Thriller,23-Sep-17,USA,4,85 min
Apostle of Dracula (2012), Horror| Mystery,8-Aug-17,USA,5.5,90 min
Bodies (2016), Horror,5-May-16,USA,4.5,98 min
9 Days (2013), Comedy| Horror| Romance,28-May-13,USA,3.7,83 min
Diggeri (2016), Horror,11-Aug-16,Russia,4,80 min
Wild Men (2017), Adventure| Comedy| Horror,7-Feb-17,USA,6.9,90 min
The Man in the Orange Jacket (2014), Horror| Mystery| Thriller,27-Feb-15,Latvia,5.1,71 min
The Legend of Wasco (2015), Horror,15-Dec-15,USA,2.8,81 min
Red Rain (2013), Horror| Sci-Fi,6-Dec-13,India,6.8,101 min
Scream Park (2012), Horror,25-Apr-16,UK,4.2,85 min
Dead Heart (2015), Drama| Horror| Thriller,1-Nov-14,Argentina,6.3,84 min
Secret Santa (2015), Horror,28-Nov-15,Canada,6.1,
"Silent Night, Bloody Night: The Homecoming (2013)", Horror,10-Jun-13,UK,4.5,85 min
Masss (2015), Action| Comedy| Horror,29-May-15,India,6.2,151 min
Scream for Summer (2017), Horror,19-Oct-17,USA,,
The Visitor (2016), Drama| Horror| Thriller,21-Apr-17,Romania,7.2,119 min
Knight of the Dead (2013), Action| Fantasy| Horror,30-Oct-14,Kuwait,2.8,82 min
Shopping Tour (2012), Comedy| Horror| Thriller,28-Nov-13,Russia,4.6,70 min
Corpse Party (2015), Horror,1-Aug-15,Japan,5,93 min
Ceberrut (2016), Horror,4-Mar-16,Turkey,3.3,
Preston Castle (2014), Horror,7-Oct-14,USA,3.7,83 min
Happy Camp (2014), Horror| Thriller,25-Mar-14,USA,3.6,75 min
Atlanta Vampire Movie (2017), Comedy| Horror,31-Oct-17,USA,,110 min
Animal Among Us (2017), Horror| Thriller,2017,USA,,90 min
Stripped (2013), Comedy| Horror| Thriller,14-May-13,USA,4.9,80 min
Tales from the Dark 1 (2013), Horror,11-Jul-13,Hong Kong,5.6,114 min
Deadman Inferno (2015), Action| Horror,16-May-15,Japan,5.6,108 min
The Emerging Past Director's Cut (2017), Horror| Mystery| Thriller,28-Mar-17,USA,4.4,90 min
Deacon (2017), Drama| Horror| Mystery| Thriller,13-Oct-17,USA,,
Swamp Freak (2017), Horror,26-Apr-17,USA,2.9,75 min
The Spiritualist (2016), Drama| Horror| Mystery| Thriller,31-Oct-16,USA,4.4,101 min
Bad Exorcists (2015), Comedy| Horror,28-Feb-15,USA,6.4,85 min
Blackwater (2007), Action| Adventure| Horror,14-Jul-12,USA,4.6,
The Evil Inside (2011), Horror,1-Aug-13,USA,3.7,83 min
Lazarus: Apocalypse (2014), Crime| Horror| Mystery| Thriller,1-Sep-15,USA,5.5,90 min
Varsity Blood (2014), Horror,19-Aug-14,USA,3.9,87 min
Exile (2014), Horror| Sci-Fi,12-Apr-14,USA,4.1,84 min
The Devil's Woods (2015), Horror,24-Oct-15,Ireland,3.2,73 min
Muerte: Tales of Horror (2017), Fantasy| Horror| Sci-Fi,2017,USA,,
The Obsidian Curse (2016), Horror,1-Dec-16,USA,,
Vamp Bikers Dos (2015), Horror,19-Sep-15,USA,7.2,80 min
Cryptids (2017), Horror,1-Oct-17,USA,,
Devils of War (2013), Action| Horror,15-Apr-13,UK,2,74 min
Shane Ryan's Faces of Snuff (2016), Crime| Horror| Mystery| Thriller,22-Nov-16,USA,6.8,136 min
The Fiancé (2016), Horror,11-Nov-16,USA,3.6,79 min
Cuentos De Camino (2017), Horror,12-Jul-17,USA,,67 min
Dark Feed (2013), Horror,18-Mar-13,USA,3.3,
Blood Redd (2015), Horror,3-Dec-15,Germany,2.8,
The Mildew from Planet Xonader (2015), Action| Horror| Sci-Fi,15-Dec-15,USA,6.1,85 min
Hooked Up (2017), Horror,2017,USA,,
Acid Girls (2014), Horror| Thriller,2014,USA,5.9,90 min
Miss Christina (2013), Horror| Mystery,1-Nov-13,Romania,6.9,101 min
Abandoned Dead (2015), Crime| Horror| Thriller,4-Nov-15,USA,2.5,77 min
Chudail Story (2016), Horror,13-May-16,India,2.9,100 min
The Devil's Business (2011), Horror,17-Aug-12,UK,5.3,69 min
Hermit: Monster Killer (2016), Adventure| Comedy| Horror,15-Oct-16,Mexico,6,
Return of the Dead (2016), Horror,12-Apr-16,USA,6.5,
Open Wound (2016), Drama| Horror,29-Sep-16,Serbia,5.7,72 min
Exhume (2017), Horror,25-Aug-17,UK,5.8,78 min
Los inocentes (2013), Horror,24-Apr-14,South Korea,4.6,65 min
Decay (2012), Horror,8-Dec-12,UK,3.8,76 min
Scarred (2013), Horror,5-Sep-13,USA,5.1,86 min
Atelophobia (2015), Horror,8-Oct-15,USA,7.7,
Sming (2014), Action| Drama| Horror,21-Aug-14,USA,5.6,105 min
Alien Domicile (2017), Horror,30-Mar-17,USA,3.9,88 min
24 Hours to Die (2016), Drama| Horror| Sci-Fi,12-Jun-16,Ireland,4.7,84 min
Blood Demon Rising (2017), Horror| Thriller,17-Feb-17,USA,4.9,93 min
There Are Monsters (2013), Horror,13-Sep-13,Canada,5.1,90 min
Guilty Pleasures (2017), Action| Fantasy| Horror| Mystery| Romance,20-Oct-17,USA,,
Buck Wild (2014), Comedy| Horror,18-Mar-14,USA,4.7,96 min
The Devil's Dozen (2013), Horror| Mystery| Thriller,1-Feb-13,USA,3.5,86 min
Carl (2012), Horror| Thriller,29-Apr-12,USA,2.8,
Ghost Theater (2015), Horror,21-Nov-15,Japan,4.9,99 min
Dream Nightmare (2016), Fantasy| Horror,30-Dec-16,USA,8,75 min
Dark Beacon (2017), Horror| Thriller,13-Oct-17,USA,,
The Watchers (2013), Horror| Mystery| Thriller,1-Nov-13,USA,4.9,120 min
The Boogeyman (2014), Drama| Horror| Thriller,7-Sep-14,USA,,45 min
Death-Scort Service (2015), Horror,13-Oct-15,USA,5.9,79 min
Party Night (2017), Horror,28-Apr-17,USA,7.7,
American Guinea Pig: Sacrifice (2017), Horror,1-Mar-17,Italy,7,
Irrational Fear (2017), Horror,2017,USA,,
The Pool (2014), Horror,1-May-14,Netherlands,5.5,
Sadie Clove (2013), Drama| Horror| Mystery| Thriller,25-Oct-13,USA,,90 min
P.O.E.: Project of Evil (2012), Horror,21-Nov-12,Italy,3,92 min
Slasher House (2012), Horror,29-Apr-13,UK,3.6,92 min
Cin Kuyusu (2015), Horror,6-Nov-15,Turkey,5.9,79 min
Wake the Dead (2017), Horror,27-Oct-17,USA,5.2,82 min
Malignant (2013), Horror| Sci-Fi| Thriller,22-May-14,USA,4.4,85 min
Hooker with a Hacksaw (2017), Horror,5-Aug-17,USA,5.4,
Slaughter Daughter (2012), Horror,2012,USA,4.4,77 min
Hangman's Game (2015), Horror| Mystery| Thriller,16-May-16,Colombia,3.6,87 min
Fright Fest (2017), Horror,2017,USA,,
Nazi Vengeance (2014), Horror| Thriller,5-May-15,USA,2.5,97 min
Sunburn (2017), Horror| Mystery| Thriller,1-Oct-17,USA,,85 min
Germ (2013), Action| Drama| Horror| Sci-Fi,12-Mar-13,USA,3.7,80 min
Terrordactyl (2016), Action| Comedy| Horror,16-Jun-16,USA,4.3,95 min
Sargad (2017), Horror,4-Aug-17,Sweden,7.8,
Love of my Life (2013), Horror| Thriller,10-Nov-13,USA,3.4,96 min
Scream: Generations (2012), Horror,6-Jan-12,USA,7.1,90 min
Reel Nightmare (2017), Fantasy| Horror| Mystery,7-Feb-17,USA,3.8,78 min
Psychedelia (2016), Fantasy| Horror| Sci-Fi| Thriller,2-Jun-16,USA,8.6,73 min
Sadako 2 3D (2013), Horror,30-Aug-13,Japan,4.7,96 min
The Break-In (2016), Horror| Mystery| Thriller,5-Feb-16,USA,4.3,72 min
Seance: The Summoning (2011), Horror| Thriller,2-Oct-12,USA,3.5,85 min
Severed Road (2017), Horror,13-Oct-17,USA,,
The Door (2014), Horror,14-Oct-14,Canada,4.5,
I Love You to Death (2012), Drama| Horror| Romance,19-Feb-13,USA,4.2,100 min
The Boundary (2014), Action| Crime| Drama| Horror| Mystery| Thriller,6-Nov-14,China,4.2,104 min
Üç Harfliler 2: Hablis (2015), Horror,14-Aug-15,Turkey,3.3,104 min
Autumn's End (2015), Horror| Mystery| Thriller,1-Apr-16,USA,6.3,80 min
